Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 22.00      0.11     0.11    20112     5.47     5.47  Receive_pointer_move
 22.00      0.22     0.11        1 110000.00 290000.00  sched
 12.00      0.28     0.06    19799     3.03     9.09  Handle_input
 12.00      0.34     0.06                             Packet_scanf
 10.00      0.39     0.05        1 50000.00 50000.00  Alloc_shots
  8.00      0.43     0.04                             Sockbuf_read
  4.00      0.45     0.02        1 20000.00 20000.00  Walldist_init
  4.00      0.47     0.02                             DgramRead
  2.00      0.48     0.01    73383     0.14     0.14  Object_position_init_pixels
  2.00      0.49     0.01     4779     2.09     2.09  Receive_keyboard
  2.00      0.50     0.01        1 10000.00 10000.00  Grok_map
  0.00      0.50     0.00  1386561     0.00     0.00  Object_position_set_clicks_interpolation
  0.00      0.50     0.00   768280     0.00     0.00  Object_position_set_clicks
  0.00      0.50     0.00   727529     0.00     0.00  Really_empty_space
  0.00      0.50     0.00   694897     0.00     0.00  Move_object
  0.00      0.50     0.00   693127     0.00     0.00  Move_object_interpolation
  0.00      0.50     0.00   581297     0.00     0.00  Move_segment
  0.00      0.50     0.00    73235     0.00     0.00  Delete_shot
  0.00      0.50     0.00    44318     0.00     0.00  Robot_default_get_data
  0.00      0.50     0.00    37404     0.00     0.00  Wrap_length
  0.00      0.50     0.00    32630     0.00     0.00  Player_position_set_clicks_interpolation
  0.00      0.50     0.00    22600     0.00     0.00  Detect
  0.00      0.50     0.00    22570     0.00     0.00  Bounce_wall
  0.00      0.50     0.00    20991     0.00     0.00  fastshot_store
  0.00      0.50     0.00    19463     0.00     0.00  block_inview
  0.00      0.50     0.00    17577     0.00     0.00  Move_player_interpolation
  0.00      0.50     0.00    17162     0.00     0.00  Turn_player
  0.00      0.50     0.00    17162     0.00     0.00  update_player_turn
  0.00      0.50     0.00    16387     0.00     0.59  Make_debris
  0.00      0.50     0.00    15276     0.00     0.00  Move_player
  0.00      0.50     0.00    15258     0.00     0.00  Player_position_set_clicks
  0.00      0.50     0.00    15114     0.00     0.00  timeval_to_seconds
  0.00      0.50     0.00    12639     0.00     0.00  Wrap_findDir
  0.00      0.50     0.00    12500     0.00     0.00  update_player_thrust
  0.00      0.50     0.00    12498     0.00     0.00  Cell_objects_get
  0.00      0.50     0.00    12498     0.00     0.00  PlayerObjectCollision
  0.00      0.50     0.00    12437     0.00     0.00  Update_tanks
  0.00      0.50     0.00    10865     0.00     0.00  Send_fastshot
  0.00      0.50     0.00    10351     0.00     0.00  Add_fuel
  0.00      0.50     0.00     9352     0.00     0.00  Robot_check_leave
  0.00      0.50     0.00     9287     0.00     0.00  Check_robot_evade
  0.00      0.50     0.00     9287     0.00     0.01  Robot_default_play
  0.00      0.50     0.00     9287     0.00     0.00  Robot_default_play_check_objects
  0.00      0.50     0.00     9287     0.00     0.01  Robot_play
  0.00      0.50     0.00     8936     0.00     0.01  Check_robot_target
  0.00      0.50     0.00     8908     0.00     0.00  Frame_radar_buffer_add
  0.00      0.50     0.00     8908     0.00     0.00  Send_radar
  0.00      0.50     0.00     8152     0.00     1.19  Thrust
  0.00      0.50     0.00     7557     0.00     0.00  Queue_loop
